"A great front-facing phone that's great
",POSITIVE
The appearance of the back may not be like a series of friends because it's not very good,NEGATIVE
Hardware is very powerful and very heavy software runs smoothly,POSITIVE
"If you're having trouble with it, it's a good phone and a lot better than the rest",POSITIVE
"The screen of this handset is one of the most revolutionary types available in the market, which has made other manufacturers mimic it",POSITIVE
"Using all the available space for the screen is superb, and the shape and appearance of the perfect",POSITIVE
"Due to lack of space and compression, the battery icon is only located and can not see the battery percentage",NEGATIVE
"The quality of the display is excellent and it's a good light source. Everything is clear and excellent, and it's quite satisfying",POSITIVE
The light of the mobile is not unnecessary.,NEGATIVE
"The quality of the display is excellent and it's a good light source. Everything is clear and excellent, and it's quite satisfying",POSITIVE
"The camera captures and captures quality photos in all optical conditions, whether it's in Salafi 
In the rear cameras.
",POSITIVE
Its quality is not the same as Samsung's flagship handsets this year,NEGATIVE
"In face recognition, I have to say that it works very accurately and quickly, and even in the darkness of the face, it clearly identifies the face and does not make any mistake",POSITIVE
"It is nice and beautiful.
",POSITIVE
"It has a beautiful, very elegant and elegant design",POSITIVE
"The drawbacks to the design of this product are that the back of the phone with the body is not flat and out of sight, which does not put on the smooth surfaces and the table does not fit well",NEGATIVE
It completely fascinated people and completely satisfied them,POSITIVE
"And one point is the removal of fingerprints on this handset, which would have been better if it was moved below the screen until it was not at all",NEGATIVE
The battery life of the iPhone 4 was not as good as I wanted and did not meet my expectations,NEGATIVE
"The AMOLED screen is more capacious than its predecessor
",POSITIVE
Due to the lower consumption of CPU it was not satisfied,NEGATIVE
I dare to say that IOS is one of the busiest hosts. I got the phone that I got from the name tag that was the method of bug,NEGATIVE
"Fortunately, the new update came up with a lot of fixes and fixes and the problem was resolved",POSITIVE
The problem of not being compatible with this patchy resolution.,NEGATIVE
"For example, some games that are not upgraded or software are still not compatible with their X and X resolution.",NEGATIVE
"Opening the software, the screen size of the ordinary phones is not bigger and practically the big screen is useless.",NEGATIVE
There are some limitations to Android that may come from you.,NEGATIVE
The price of this product is very high.,NEGATIVE
"If you really do not have the money and buy it for you, buy a lower-end model or buy it. I really want to say a very necessary thing 
And you did not miss out. Just opening it with a face does not mean that you will be charged with this price difference
",NEGATIVE
"There are significant changes to the device's predecessors compared to previous generations. After using the Face Detection Sensor, the smartphone has changed dramatically the display quality and super-stereo sound of the handset",POSITIVE
It really attracts the consumer,POSITIVE
"It is located at high speed and completely rarely without the bug of this handset, which again has the head and neck of the other rivals, which no longer needs to be explained",POSITIVE
"The Face Detection Sensor, which has really done it, is special for the device to be so special that even at night, for example, in the car or before sleep, which usually has very little light, this sensor can easily function and the phone opens without increasing the screen light. the show",POSITIVE
"There are some interesting security benefits for this handset
",POSITIVE
It was really special for me,POSITIVE
"In the case of the camera and its quality, which you know better than I do, I only say that my friend, who bought the camera and bought him a 6 thoman, was a matte quality of this phone. That's enough explanationv",POSITIVE
The operating system does not have any problems with the compatible phone,POSITIVE
"If you are looking for a high quality phone with high software support, the option is perfect",POSITIVE
I bought a quarter of everything I'm satisfied with,POSITIVE
This phone is incredibly smart and comfortable,POSITIVE
Everything is fine,POSITIVE
Fine-eye ipad is more accurate and faster than the fingerprint of the ultra-waterproof and sturdy camera,POSITIVE
The quality of the actual photo should be good after printing.,POSITIVE
Is not worth the price,NEGATIVE
"Do not doubt if you have money, because it's better than the other one.",POSITIVE
The only disadvantage of the iPhone 4 that nobody has pointed out to it is a foolish flash in the portrait mode that turns the eye red or white.,NEGATIVE
"I can safely say that the iPhone, in addition to the fact that there is no benefit to Android, is also far behind.",NEGATIVE
"You not only can not do much with the iPhone, but a series of things that you do is hard to do as fully as Android.",NEGATIVE
The iPhone's bug with this strange price,NEGATIVE
The phone has been hanged twice in the last 3 weeks,NEGATIVE
"Sometimes Facebook does not respond, and when it's working, it's too bad for a fingerprint   ",NEGATIVE
"In addition to all this, there is no button shutter that Android handsets make it work much slower than Android",NEGATIVE
It has a lot of battery life and is very slow to charge even though it has no capacity,NEGATIVE
"In short, it's really not worth the money you do not see",NEGATIVE
I'm sure to suggest it is great,POSITIVE
The disadvantage for me is to be sensitive to blow because of glassv,NEGATIVE
"Its good quality is its superb camera quality, especially its selfie camera",POSITIVE
"This is very bug, although I've upgraded to the latest update",NEGATIVE
"Instead of working well, it's good to work. The Fine-Dido Camera is really good and has a great deal of fun",POSITIVE
"Hoping to get rid of bugs with later updates, because she really got nerves",NEGATIVE
The definition of the quality of this handset is like water in the hole,POSITIVE
"I can only say that since this form of camera and screen has been used, other companies will follow this design imitate",POSITIVE
I do not recommend buying a new phone at current prices in the Iranian market,NEGATIVE
Excellent and with a special quality of the Sasmangan display,POSITIVE
"In a word, it's super good",POSITIVE
The company has always proven a revolutionary product,POSITIVE
"In this, everything is at its best.",POSITIVE
Upgrading and synchronizing software and hardware will work best,POSITIVE
"Due to the full coordination of software and hardware platforms, you will see a lot more performance",POSITIVE
I can say that I'm totally satisfied with this product here,POSITIVE
It's really great at all,POSITIVE
High quality super camera,POSITIVE
I'm totally satisfied with this,POSITIVE
"Its disadvantage is that it can not be used without hands or handsfree without the conversion or airplanes, and of course, its current price in the Iranian market",NEGATIVE
This phone seems to be the best handset ever made by man to design it today,POSITIVE
"If one ignores the weakness of the battery due to the high quality of the screen, in one word it is best",POSITIVE
Do not doubt about the fewer features you can afford,NEGATIVE
"Some of the features that the app has just added is the fastest charge and wireless bandwidth (wireless charging) that Apple has just achieved, but only the ability to add any functionality to the phone without having to redo it, as Apple's slogan of innovation LT is",NEGATIVE
"You go to the sites and prices of both flags of medicine in dollars, and given the technology used at least a few years ahead of the current Apple, but the price is half",NEGATIVE
"An incredibly strong marketplace that makes every episode included in the market, and all the apps go to the standards that are needed to create unpolluted heavy duty games and ease of use",POSITIVE
The cameras used in this handset are slightly lower than Samsung and Sony,POSITIVE
"The screen, which Samsung has been able to add to the product in addition to the beauty of the product added features",POSITIVE
One of the most powerful chips available.,POSITIVE
The duplicates that Apple has introduced and those who have been limited to the same features as previously enjoyed a sense of innovation.,NEGATIVE
It's really not worth buying if you've gotten your money from where,NEGATIVE
"This handset came to my attention today, for a few minutes, I had a great design",POSITIVE
The interface has really improved on the surface of the movie.,POSITIVE
I recommend buying it for everyone,POSITIVE
"In my opinion, the mistake of getting married when you can get the best deal with the lowest amount you can buy above this brand",NEGATIVE
"For the menu that we like, there are fewer and fewer types of apps, music, and movies on your phone. IPhone has limitations",NEGATIVE
This handset is great no flaws,POSITIVE
There's no doubt that the phone is good,POSITIVE
Capable of portrait photography.,POSITIVE
The iPhone has not had dual SIM capabilities in any of its products.,NEGATIVE
"Apple's operating system, which is in perfect harmony with its hardware",POSITIVE
This handset can take care of anyone,POSITIVE
The new and fascinating changes that I have made to me are wonderful,POSITIVE
"Most of all, in my opinion, is the appearance of a new phone that can be very appealing",POSITIVE
The black margin on top of her page is so bad and nasty,NEGATIVE
"If you look at the rest of the phone, you'll see that half of that cost and need to be fixed",NEGATIVE
Exterior design and unique motion gestures,POSITIVE
"This phone is superb and despite the fact that it has a large screen, but when you get your hands, you'll find that it's so cool",POSITIVE
The quality of the build is high and everything is engineered,POSITIVE
I love it buy it as soon as possible,POSITIVE
It really is very expensive and worthless,NEGATIVE
No new innovations,NEGATIVE
"In the night, the camera is sleek so that it should not be excellent and does not adjust the light well",NEGATIVE
No competitor it is great,POSITIVE
"Hanging, lag and lag that I had not had before",POSITIVE
An animated feature is fun and amusing,POSITIVE
There are plenty of features and lots of features,POSITIVE
There's a big disadvantage that my iPhone has when it comes to battery life. Even when the battery is in storage,NEGATIVE
This phone has a lot of cool and interesting features,POSITIVE
I must say that it's not a word - the culmination of human construction is undoubtedly ten years from all brands ahead of Apple,POSITIVE
"Really even looking at it, I still have not got my mind to believe that something like that really is made",POSITIVE
A great phone for everyday tasks,POSITIVE
In terms of hardware and coordination of the operating system with great hardware,POSITIVE
Apple's limitations then take a while,POSITIVE
"The phone is good, but I do not think it's worth it at all",NEGATIVE
Its screen is immeasurable and in the first place you are fascinated by its light and color,POSITIVE
"This handset is not priced at all, and it's not really good at designing",NEGATIVE
"In terms of camera and display, memory and innovation, the phone is on the lower end of the Sony and Samsung brands",NEGATIVE
Hardware and software create tidbits and create their own innovations,POSITIVE
The great initiative and work is very comfortable with her,POSITIVE
"The quality of the camera is very good, it is very good",POSITIVE
"It's a pretty good phone, and it's good to be good",POSITIVE
"It looks nice and attractive, and its quality is far better than other versions of the iPhone",POSITIVE
The function of the face recognition system was not expected and does not have much security,NEGATIVE
Failure to support the fingerprint recognition system has made it even more cumbersome,NEGATIVE
Freeze the page and the strange and funny laggs,NEGATIVE
Extremely worth it is really worth buying,POSITIVE
The highest technology and quality expected from a mobile phone,POSITIVE
Experience with Facebook is very attractive and enjoyable,POSITIVE
"High-quality camera, slim body and iPhone OS are the hallmarks of this product",POSITIVE
Not worth the purchase price,NEGATIVE
The super-screen has a really high-quality sound,POSITIVE
This is a great phone for everyone,POSITIVE
"I can not find any faults, and I really do not care about Marcos without any prejudice",POSITIVE
"The hardware is fantastic, and the operating system is smooth and well supported",POSITIVE
The value of the purchase is very low,NEGATIVE
I'm very pleased with the purchase and the size is very good,POSITIVE
I do not think this price is worth it,NEGATIVE
The camera that makes this phone look great,POSITIVE
I'm really delighted with the camera,POSITIVE
Its unique processor is the world's most powerful mobile processor,POSITIVE
This phone is not worth the money with these features,NEGATIVE
"The iPhone is unique in terms of quality and performance, and is almost inseparable from other phones",POSITIVE
The security and protection of the phone from unobtrusive information and photos are both crisp and fun,POSITIVE
It has built-in quality and good security,POSITIVE
